,id,age,highest_education,profession,hispanic,weekly_hours_worked,in_college,is_married,schoolmeals_purchases,self_employed,sex,supp_security,reason_unemployment,main_profession,numweeks_schoolmeals,id_2,psu,psu_popsize,net_income,total_food_percent,rent_income_percent,alcbev_percent,bakery_percent,beef_percent,cereal_percent,child_age,housing_type,census_division,eggs_percent,fam_size,food_away_percent,food_home_percent,fresh_fruit_percent,fresh_veg_percent,value_foodstamps,number_foodstamps,non_alc_grocery_percent,milk_percent,number_earners,non_alc_bevs_percent,oils_percent,othdairy_percent,othmeat_percent,members_under18,members_over64,pet_food_percent,pork_percent,procfruit_percent,proc_veg_percent,spouse_race,seafood_percent,smoking_percent,lives_in_MSA,state,sweets_percent,vehicle
10,360905,34,Bachelor’s degree,Paid employee of a PRIVATE company,No,44.5,Not at all,Married,,No,Male,,,103.0,,360905,"Honolulu, HI",0.33-1.19 mil,124282.6,0.10129840170707699,,0.00598313842806636,0.0031756657810506103,0.00262128407355495,0.00661910838685383,6,"House, apartment, flat",Pacific,0.0,5,0.0310864814543629,0.0702119202527144,0.00284931277588335,0.0022154348235392603,,,0.0418401288675969,6.501312331734289e-05,2,0.00041003326290245,0.0,0.0024016233970000603,0.0,2,0,0.00110247065960963,0.00140373632350788,0.00476140666513253,0.00342252254136943,4.0,0.0,0.0,Yes,Hawaii,0.0026819522604129603,3.0
33,360948,62,High school graduate,A State government employee,No,45.0,Not at all,Married,,No,Female,,,110.0,,360948,"Honolulu, HI",0.33-1.19 mil,178859.8,0.0472102716205654,,0.0,0.00615476479343039,0.008832391291950459,0.00105971269116928,7,"House, apartment, flat",Pacific,0.00121234620635828,9,0.0007370018304839879,0.0464732697900814,0.00301051438053716,0.00316169424320054,,,,2.51034609230246e-05,4,0.00363413131402361,0.000895449955775417,0.0024130631925116802,0.0,4,1,0.0,0.00328234740282612,0.0,0.0060646383368426,1.0,0.0014420233054045699,0.0,Yes,Hawaii,0.0,4.0
54,361001,72,Master’s or greater,,No,,Not at all,Married,,No,Female,,Retired,930.0,,361001,"Honolulu, HI",0.33-1.19 mil,153216.0,0.0865835160818713,30.5451127819549,0.0,0.000884111319966583,0.00577472326649958,0.00220773287385129,0,"House, apartment, flat",Pacific,0.00132531850459482,2,0.0173920478279031,0.0691914682539683,0.00545399958228906,0.0067725302840434395,,,0.016969507101086002,4.89831349206349e-05,0,0.00228239870509607,0.000884111319966583,0.0115477495822891,0.0,0,2,0.00354493003341688,0.0,0.0012218045112782,0.00141865079365079,1.0,0.00450031328320802,0.0,Yes,Hawaii,0.000773809523809524,3.0
64,361030,67,Bachelor’s degree,,No,40.0,Not at all,Married,,No,Female,,Retired,930.0,,361030,"Honolulu, HI",0.33-1.19 mil,180063.0,0.008086058768319979,4.96613962890766,0.0,0.0,0.0,0.0,0,"House, apartment, flat",Pacific,0.0,2,0.008086058768319979,0.0,0.0,0.0,,,,0.0,1,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Yes,Hawaii,0.0,2.0
223,361384,64,Some college but no degree,Self-employed,No,36.25,Not at all,Married,,Yes,Female,,,201.0,,361384,"Honolulu, HI",0.33-1.19 mil,292619.0,0.11460820418359699,,0.013409655558934998,0.005505315786056271,0.0,0.00275621200263824,0,"House, apartment, flat",Pacific,0.0,5,0.0624400965760938,0.0521681076075033,0.00300658569675927,0.00121424466627252,,,0.0133279110379025,3.9807206640717104e-05,4,0.000757697073669174,0.0025394113164216897,0.00266709625827441,0.0010181546652814801,0,2,0.00155847706403207,0.00136211250807364,0.000593539858997536,0.00132899975736367,6.0,0.0144741113871621,0.0,Yes,Hawaii,0.00104757380757914,4.0
228,361393,66,Some college but no degree,A local government employee,Yes,40.0,Not at all,Widowed,,No,Male,,,111.0,,361393,"Honolulu, HI",0.33-1.19 mil,111907.4,0.31733701256574603,,0.0018865597806758101,0.0102018275824476,0.0212958213665942,0.0129271165266998,0,"House, apartment, flat",Pacific,0.00217233176715749,9,0.138334551602486,0.17900246096326103,0.00801787906787219,0.007030455537346061,,,0.0929339793436359,6.67516178554769e-05,3,0.0248458993775211,0.00169604512302136,0.00702813218786246,0.004407393970371929,2,2,0.0,0.00558533215855252,0.0,0.0059129244357388295,,0.0138332228253002,0.0,Yes,Hawaii,0.0,4.0
525,362044,63,Some college but no degree,,No,40.0,Not at all,Married,,No,Male,,Retired,930.0,,362044,"Honolulu, HI",0.33-1.19 mil,97374.8,0.0641437004235182,-0.320411441153153,0.0106296495602558,0.0,0.00163142825453814,0.0021467566557261198,0,"House, apartment, flat",Pacific,0.00203194255597958,2,0.029106709333421,0.0350369910900972,0.0049663773378738705,0.00112144004403603,,,0.042721525487087006,0.0,1,0.0032788770811339302,0.00164477873125285,0.000750296791366966,0.0,0,0,0.0,0.0,0.000486224361949909,0.000432288436022462,4.0,0.0009665745141453439,0.0,Yes,Hawaii,0.00491297543101501,2.0
599,362210,61,Some college but no degree,A Federal government employee,No,37.3333333333333,Not at all,Married,,Yes,Male,,,107.0,,362210,"Honolulu, HI",0.33-1.19 mil,334404.6,0.0518241175510146,,0.0,0.00449706732503082,0.0,0.00129842711493801,7,"House, apartment, flat",Pacific,0.0,3,0.0108132590281354,0.0410108585228792,0.00298662027974496,0.00207965572243922,,,0.0311000506571979,1.98113303465323e-05,3,0.0045460499048159,0.0,0.000347543066094187,0.00028456546351336096,0,0,0.0,0.000241802893859714,0.000827956433613652,0.00326550920651211,4.0,0.003978473980322039,0.0,Yes,Hawaii,0.00203161080918145,4.0
649,362309,32,High school graduate,Paid employee of a PRIVATE company,Yes,40.0,Not at all,Never married,,No,Female,,,112.0,,362309,"Honolulu, HI",0.33-1.19 mil,55061.0,0.205054394217323,,0.0,0.0198561595321552,0.0170796026225459,0.0099304407838579,2,"House, apartment, flat",Pacific,0.0,5,0.0671426236356042,0.13791177058171802,0.0062283649043787795,0.00620475472657598,,,0.14166106681680302,9.562122010134219e-05,2,0.0004958137338588111,0.0,0.009599898294618691,0.00644557854016455,3,0,0.0128203265469207,0.00303154682987959,0.00560977824594541,0.00211547193113093,,0.0043206625379125,0.0,Yes,Hawaii,0.0023657398158406103,2.0
651,362311,30,Bachelor’s degree,A State government employee,No,36.0,Not at all,Married,,No,Female,,,102.0,,362311,"Honolulu, HI",0.33-1.19 mil,52904.4,0.176335420116285,,0.0510963171305222,0.00332221894587218,0.0,0.0,0,"House, apartment, flat",Pacific,0.0,2,0.16340530466275,0.0129301154535351,0.0,0.000633973733753714,,,0.0147435752035748,0.0,2,0.00462456808885461,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0242138650093376,Yes,Hawaii,0.00127777651764315,3.0
