,id,age,highest_education,profession,hispanic,weekly_hours_worked,in_college,is_married,schoolmeals_purchases,self_employed,sex,supp_security,reason_unemployment,main_profession,numweeks_schoolmeals,id_2,psu,psu_popsize,net_income,total_food_percent,rent_income_percent,alcbev_percent,bakery_percent,beef_percent,cereal_percent,child_age,housing_type,census_division,eggs_percent,fam_size,food_away_percent,food_home_percent,fresh_fruit_percent,fresh_veg_percent,value_foodstamps,number_foodstamps,non_alc_grocery_percent,milk_percent,number_earners,non_alc_bevs_percent,oils_percent,othdairy_percent,othmeat_percent,members_under18,members_over64,pet_food_percent,pork_percent,procfruit_percent,proc_veg_percent,spouse_race,seafood_percent,smoking_percent,lives_in_MSA,state,sweets_percent,vehicle
220,361380,64,High school graduate,Paid employee of a PRIVATE company,Yes,40.0,Not at all,Married,,No,Male,,,112.0,,361380,"San Francisco-Oakland-Hayward, CA",1.20-4 mil,86152.2,0.0355872513992678,,0.0065247318118399796,0.00210952244980395,0.0,0.0022634361049398604,0,"House, apartment, flat",Pacific,0.0009023565271693589,2,0.0,0.0355872513992678,0.00210952244980395,0.00256220967079192,,,0.0452687220987972,2.32147292814345e-05,1,0.0,0.0,0.00271310541112125,0.00316277471730263,0,1,0.0,0.0,0.0,0.0,4.0,0.0009053744419759449,0.0,Yes,California,0.0,1.0
324,361592,44,Master’s or greater,Paid employee of a PRIVATE company,No,27.0,Not at all,Married,,No,Female,,,104.0,,361592,"San Francisco-Oakland-Hayward, CA",1.20-4 mil,245516.4,0.0982437833073473,,0.0059303574017866,0.00497302827835534,0.0,0.00272584642003548,3,"House, apartment, flat",Pacific,0.0005813868238537219,4,0.0586681785819603,0.039575604725387,0.00328287641884615,0.00266548385362444,,,0.0402417109406948,5.5739657310061594e-05,2,0.0019421920490851102,0.00121572326736625,0.00547816764990037,0.0013745721263426801,2,0,0.0282306192172906,0.00280209387234417,0.000633277451119355,0.00042253796487729504,1.0,0.0,0.0,Yes,California,0.0013735131339495,1.0
358,361654,27,Bachelor’s degree,Paid employee of a PRIVATE company,No,40.0,Not at all,Never married,,No,Male,,,103.0,,361654,"San Francisco-Oakland-Hayward, CA",1.20-4 mil,120249.2,0.0949736048140029,,0.020990409915409,0.0035675913020627205,0.00497300605742076,0.00237839420137514,0,"House, apartment, flat",Pacific,0.000646490787464698,2,0.0523571050784538,0.0426164997355492,0.00241082684957571,0.000644328610917994,,,0.0432435309340935,1.6632127282343698e-05,2,0.0,0.0012951437514761,0.00491582297429006,0.0132442978414825,0,0,0.0,0.0034594824747274803,0.0,0.0017297412373637401,,0.00248650302871038,0.0,Yes,California,0.0,
459,361896,80,Some college but no degree,,No,,Not at all,Married,,No,Male,,Retired,930.0,,361896,"San Francisco-Oakland-Hayward, CA",1.20-4 mil,104908.9,0.024889975969627002,,0.0,0.00481293770118646,0.0,0.0,0,"House, apartment, flat",Pacific,0.0,2,0.00619585182953972,0.0186941241400873,0.000688978723444817,0.0,,,0.00991336292726356,1.0485287711528801e-05,0,0.0,0.0,0.00393560508212363,0.0024758623910840698,0,2,0.0,0.0010483381295581199,0.00185379886739829,0.0012342136844443099,1.0,0.0,0.0,Yes,California,0.0,2.0
508,362005,82,High school graduate,,Yes,,Not at all,Married,,No,Female,,Retired,930.0,,362005,"San Francisco-Oakland-Hayward, CA",1.20-4 mil,38517.4,0.14007333101403502,,0.0,0.0139227180443124,0.007243594842850241,0.0075844189898591294,0,"House, apartment, flat",Pacific,0.00222006521727842,2,0.0,0.14007333101403502,0.0146108465265049,0.00755400260661415,,,0.07425215616838099,0.00012051423512490501,0,0.0032378462720744398,0.00650888325795614,0.00860631091402846,0.0,0,2,0.0,0.00329800401896286,0.00835491336383037,0.0029222678581628,1.0,0.00308598711231807,0.0,Yes,California,0.00973757626423383,
579,362156,88,High school graduate,,No,40.0,Not at all,Widowed,,No,Female,,Retired,930.0,,362156,"San Francisco-Oakland-Hayward, CA",1.20-4 mil,58664.0,0.116371539615437,,0.0134777717168962,0.006621437338060821,0.0,0.000438769944088368,7,"House, apartment, flat",Pacific,0.00211850538660848,2,0.0488009682258284,0.0675705713896086,0.00645745261148234,0.00141852106913951,,,0.17728078549025,4.55986635756171e-05,1,0.0129680894586118,0.0,0.0,0.00221157779899086,0,1,0.0028763807445793,0.0,0.00298274921587345,0.0040062709668621296,,0.0,0.0,Yes,California,0.0188227873994272,2.0
679,362362,55,Associate’s degree in college,Paid employee of a PRIVATE company,No,45.0,Not at all,Divorced,,No,Female,,,103.0,,362362,"San Francisco-Oakland-Hayward, CA",1.20-4 mil,81075.2,0.062290811493527005,,0.0,0.00031748302810230496,0.0022416225923587,0.000638172955478371,0,"House, apartment, flat",Pacific,0.0020203465424692103,1,0.0270534022734449,0.0352374092200821,0.0062726949794758395,0.008517524471108309,,,0.0346345121566151,1.22725568361225e-05,1,0.000862655904641617,0.0,0.00288300244711083,0.0,0,0,0.0,0.0,0.0,0.00127634591095674,,0.0,0.0,Yes,California,0.000574034970003158,1.0
687,362378,64,Master’s or greater,Self-employed,No,50.0,Not at all,Married,,Yes,Female,,,203.0,,362378,"San Francisco-Oakland-Hayward, CA",1.20-4 mil,320200.0,0.0470557784509681,,0.0238668956901936,0.0014214683947532801,0.0,0.000405996252342286,0,"House, apartment, flat",Pacific,0.00026488494690818197,2,0.0317683947532792,0.0152873836976889,0.000486383510306059,0.000903162211118051,,,0.0129918800749532,0.0,2,0.0035924351030605897,0.0,0.00342649875078076,0.0,0,1,0.0,0.0,0.00028494116177389103,0.00174091193004372,1.0,0.0,0.0,Yes,California,0.00105559025608994,2.0
889,362810,53,Bachelor’s degree,Paid employee of a PRIVATE company,No,60.0,Not at all,Divorced,,Yes,Female,,,101.0,,362810,"San Francisco-Oakland-Hayward, CA",1.20-4 mil,44009.0,0.458930218818878,11.8157649571679,0.0,0.00983071644436365,0.0213097321002522,0.0,6,"House, apartment, flat",Pacific,0.0011697607307596199,5,0.11684019177895401,0.342090027039924,0.00401736008543707,0.0198800245404349,,,0.47853848076529804,0.000120202685814265,1,0.0218355336408462,0.0100847553909428,0.0144920357199664,0.00531118634824695,3,0,0.0,0.045053511781681,0.0020831016383012603,0.0108315294598832,,0.0455025108500534,0.0,Yes,California,0.000762116839737327,3.0
1023,363101,29,Bachelor’s degree,Paid employee of a PRIVATE company,No,40.0,Not at all,Married,,No,Male,,,103.0,,363101,"San Francisco-Oakland-Hayward, CA",1.20-4 mil,136592.8,0.0356764404858821,,0.0185286127819329,0.000571040347661077,0.0,0.0,0,"House, apartment, flat",Pacific,0.0,2,0.030156383791825003,0.00552005669405708,0.0,0.000666213738937924,,,0.0380693565107385,0.0,2,0.0,0.0,0.000380693565107385,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Yes,California,0.0,1.0
