,Beer,Liquor and cocktails,Wine,Cookies and brownies,Tortillas,Yeast breads,"Beef, excludes ground",Burgers,Ground beef,Oatmeal,"Pasta, noodles, cooked grains","Read to eat cereal, higher sugar","Egg rolls, dumplings, sushi",Egg/breakfast sandwiches,Eggs and omelets,Apples,Bananas,Grapes,"Beans, peas, legumes",French fries and other fried potatoes,Other starchy vegetables,"Flavored milk,whole","Milk, non fat","Milk, whole",Coffee,Soft drinks,Sports and energy drinks,Butter and animal fats,Margarine,Salad dressings and vegetable oils,Cheese,Mayonnaise,Meat mixed dishes,Other sandwiches,Sausages,Bacon,Pork,"Chicken patties, nuggets and tenders","Chicken, whole pieces",Chicken/turkey sandwiches,Mashed potatoes and white potato mixtures,Processed soy products,Apple juice,Citrus juice,Nutrition bars,Fish,Seafood mixed dishes,Shellfish,Candy containing chocolate,Ice cream and frozen dairy desserts,Sugars and honey
Caffeine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Calcium, Ca",4.0,3.0,10.0,0.0,26.0,0.0,0.0,13.0,0.0,67.0,31.0,19.0,43.0,217.0,40.0,6.0,39.0,0.0,17.0,0.0,24.0,95.0,139.0,125.0,0.0,0.0,0.0,24.0,0.0,0.0,714.0,0.0,0.0,106.0,11.0,80.0,19.0,0.0,22.0,58.0,18.0,453.0,17.0,146.0,333.0,20.0,24.0,53.0,91.0,128.0,83.0
"Carbohydrate, by difference",2.97,0.0,3.8,72.41,46.51,42.86,3.57,0.0,0.0,63.33,62.5,86.1,16.3,25.0,0.0,14.29,67.5,18.08,3.33,25.0,8.48,11.96,5.83,5.0,76.67,11.55,5.78,0.06,0.0,6.67,7.14,0.0,0.0,23.24,0.94,1.89,0.0,12.99,17.78,28.49,17.12,52.2,46.67,10.83,75.0,3.57,0.0,0.88,68.18,23.6,98.09
Cholesterol,0.0,0.0,0.0,0.0,0.0,0.0,58.0,66.0,67.0,0.0,0.0,0.0,25.0,114.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,15.0,0.0,0.0,0.0,215.0,0.0,0.0,107.0,33.0,54.0,25.0,61.0,86.0,69.0,39.0,39.0,32.0,18.0,0.0,0.0,0.0,0.0,46.0,165.0,137.0,23.0,44.0,0.0
Energy,41.0,40.0,83.0,483.0,279.0,357.0,196.0,285.0,179.0,367.0,438.0,402.0,141.0,217.0,140.0,52.0,425.0,71.0,17.0,155.0,42.0,85.0,38.0,67.0,460.0,42.0,22.0,717.0,714.0,333.0,357.0,667.0,71.0,183.0,309.0,226.0,170.0,234.0,200.0,279.0,135.0,508.0,183.0,46.0,417.0,193.0,71.0,88.0,500.0,207.0,380.0
"Fatty acids, total monounsaturated",0.0,0.0,0.0,0.0,3.49,5.36,0.0,0.0,0.0,0.0,6.25,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.829,0.0,0.0,0.0,0.0,0.0,21.021,21.43,0.0,0.0,0.0,0.0,0.0,11.212,6.223,3.548,4.55,0.0,0.0,0.0,10.78,0.0,0.0,2.08,0.0,0.0,0.0,0.0,2.969,0.0
"Fatty acids, total polyunsaturated",0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0,2.34,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.186,0.0,0.0,0.0,0.0,0.0,3.043,28.57,0.0,0.0,0.0,0.0,0.0,3.626,4.699,1.19,5.19,0.0,0.0,0.0,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.452,0.0
"Fatty acids, total saturated",0.0,0.0,0.0,6.9,0.0,7.14,4.46,9.27,4.02,1.67,7.81,3.6,1.09,2.72,3.0,0.0,12.5,0.09,0.0,1.19,0.0,1.86,0.0,2.08,13.33,0.0,0.0,51.368,21.43,5.0,17.86,10.0,0.0,1.41,9.313,4.52,2.993,3.25,1.11,3.49,4.05,12.37,0.0,0.0,4.17,2.5,0.59,0.0,13.64,6.79,0.0
"Fatty acids, total trans",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.278,0.0,0.0,0.0,1.33,0.0,0.0,0.231,0.184,0.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fiber, total dietary",0.0,0.0,0.0,3.4,7.0,0.0,0.0,0.0,0.0,10.0,3.1,0.8,2.2,2.2,0.0,3.2,10.0,0.9,1.7,2.4,1.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,1.3,0.0,1.2,1.8,0.0,0.0,0.0,4.2,0.2,0.0,0.0,0.0,0.7,0.0
