,id,age,highest_education,profession,avg(GROSPAYX),hispanic,weekly_hours_worked,in_college,is_married,schoolmeals_purchases,self_employed,sex,supp_security,reason_unemployment,main_profession,numweeks_schoolmeals,id_2,psu,psu_popsize,net_income,FWAGEXM,alcbev,bakery,beef,cereal,child_age,housing_type,census_division,eggs,fam_size,food_away,food_home,total_food,fresh_fruit,fresh_veg,value_foodstamps,number_foodstamps,non_alc_grocery,milk,number_earners,non_alc_bevs,oils,othdairy,othmeat,members_under18,members_over64,pet_food,pork,procfruit,proc_veg,spouse_race,foodstamp_or_not,seafood,smoking,lives_in_MSA,state,sweets,vehicle,miscellaneous,poultry,total_food_percent
0,360889,27,Associate’s degree in college,Paid employee of a PRIVATE company,3373.0,No,40.0,Not at all,Never married,,No,Male,,,103.0,,360889,Rest of America,0.33-1.19 mil,89097.0,89095.0,0.0,6.22,0.0,8.32,0,"House, apartment, flat",Mountain,0.0,1,11.8,59.935,71.735,6.775,1.485,,,110.0,5.24,1,1.585,0.0,6.27,0.0,0,0,9.78,0.0,1.29,1.02,,No,0.0,0.0,Yes,,0.0,2.0,21.73,0.0,0.041866953993961634
1,360890,53,High school graduate,Paid employee of a PRIVATE company,494.0,No,40.0,Not at all,Divorced,,No,Female,,,101.0,,360890,Rest of America,0.33-1.19 mil,26000.0,26000.0,0.0,1.075,0.0,0.5,0,"House, apartment, flat",West North Central,0.0,1,12.385,5.795,18.18,0.0,0.0,,,25.0,2.39,1,0.84,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,No,0.0,0.0,Yes,Nebraska,0.0,1.0,0.99,0.0,0.03636
2,360892,56,Bachelor’s degree,Paid employee of a PRIVATE company,2784.0,No,55.0,Not at all,Divorced,,No,Male,,,101.0,,360892,Rest of America,0.33-1.19 mil,35000.0,35000.0,4.775,2.55,5.03,0.945,0,"House, apartment, flat",West North Central,1.165,1,6.305,20.325,26.63,0.0,0.8,,,40.0,0.0,1,0.0,0.0,4.39,0.0,0,0,0.0,0.0,0.0,2.69,,No,0.0,1.73,Yes,Kansas,1.155,1.0,1.6,0.0,0.03956457142857143
3,360893,34,Bachelor’s degree,Self-employed,1703.0,No,24.0,Not at all,Married,,Yes,Female,,,205.0,,360893,"Minneapolis-St. PaulBloomington, MN-WI",1.20-4 mil,95500.0,83000.0,57.88,15.26,9.46,4.175,3,"House, apartment, flat",West North Central,0.855,3,27.65,167.06000500000002,194.710005,11.86,14.864245,,,110.0,3.98,2,6.835,0.0,16.11,4.98,1,0,6.49,1.495,11.26984,10.713155,1.0,No,0.0,6.02272,Yes,,3.41331,3.0,42.777925,9.01153,0.10602010743455496
6,360899,49,High school graduate,Paid employee of a PRIVATE company,500.0,Yes,40.0,Not at all,Married,,No,Male,,,109.0,,360899,Rest of America,"< 125,000",21696.0,12000.0,0.0,1.76,0.0,0.0,0,Mobile home or trailer with NO permanent room added,,0.0,2,4.97,7.66,12.63,1.07,0.58,,,65.0,0.0,1,4.25,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.0,No,,0.0,2.0,0.0,0.0,0.030271017699115044
7,360900,65,Associate’s degree in college,Paid employee of a PRIVATE company,2358.0,No,40.0,Not at all,Married,,No,Male,,,107.0,,360900,"Minneapolis-St. PaulBloomington, MN-WI",1.20-4 mil,160000.0,160000.0,12.91107,13.359595,5.180445,7.639425,0,"House, apartment, flat",West North Central,3.3127800000000005,2,26.873929999999998,138.48577,165.3597,9.38755,5.82372,,,85.0,3.506675,2,7.617955,7.096114999999999,12.037445,4.73372,0,1,2.38922,5.498385,5.857355,2.8515,2.0,No,0.0,0.0,Yes,,4.730045,2.0,32.763245,7.089815,0.0537419025
8,360902,70,High school graduate,Paid employee of a PRIVATE company,,No,33.0,Not at all,Widowed,,No,Female,,,105.0,,360902,Rest of America,"< 125,000",26110.0,26110.0,0.0,5.15,0.0,0.0,0,"House, apartment, flat",,0.565,1,9.673115,30.03,39.703115000000004,0.0,0.0,,,25.0,2.46,1,7.185,0.0,2.015,0.0,0,1,0.0,1.39,0.0,0.0,,No,0.0,0.0,No,,0.0,1.0,11.265,0.0,0.07907169590195329
10,360905,34,Bachelor’s degree,Paid employee of a PRIVATE company,2546.0,No,44.5,Not at all,Married,,No,Male,,,103.0,,360905,"Honolulu, HI",0.33-1.19 mil,124282.6,124246.8,14.3,7.59,6.265,15.82,6,"House, apartment, flat",Pacific,0.0,5,74.298245,167.81,242.108245,6.81,5.295,,,100.0,8.08,2,0.98,0.0,5.74,0.0,2,0,2.63496,3.355,11.38,8.18,4.0,No,0.0,0.0,Yes,Hawaii,6.41,3.0,69.44,12.465,0.10129840170707725
11,360906,88,Grade 8 or lower,,,No,,,Widowed,,No,Male,,Retired,930.0,,360906,"Dallas-Fort Worth-Arlington, TX",4 mil+,13367.0,0.0,0.0,1.245,0.0,0.0,0,"House, apartment, flat",West South Central,0.0,1,0.0,9.435,9.435,0.0,0.635,,,40.0,1.45,0,0.0,0.0,2.48,0.0,0,1,0.0,0.0,0.0,0.0,,No,0.0,0.0,Yes,Texas,0.0,1.0,3.625,0.0,0.03670382284731054
14,360910,63,Master’s or greater,A State government employee,4000.0,No,70.0,Part time,Married,,No,Female,,,102.0,,360910,Rest of America,"< 125,000",139608.0,120000.0,0.0,4.253575,0.0,0.0,5,"House, apartment, flat",West South Central,0.0,3,53.935,23.07499,77.00999,0.0,0.9807549999999999,,,185.0,0.0,1,2.884205,0.0,3.03,2.25285,1,0,8.095,3.054445,0.0,2.1745349999999997,1.0,No,0.0,0.0,No,,0.0,2.0,1.588835,2.8557900000000003,0.028684025843791185
15,360911,50,Some college but no degree,Paid employee of a PRIVATE company,980.0,No,65.0,Not at all,Divorced,,No,Male,,,101.0,,360911,Rest of America,0.33-1.19 mil,48012.0,48000.0,0.0,0.505,3.31,0.0,0,"House, apartment, flat",South Atlantic,0.0,1,0.0,24.65,24.65,10.13,0.0,,,13.0,0.0,1,1.755,0.0,4.88,3.31,0,0,0.0,0.0,0.0,0.0,,No,0.0,0.0,Yes,North Carolina,0.0,1.0,0.76,0.0,0.026697492293593268
16,360916,51,Bachelor’s degree,Self-employed,,No,75.0,Not at all,Married,,Yes,Female,,,206.0,,360916,Rest of America,1.20-4 mil,76481.2,0.0,29.22455,4.335,0.0,3.79,0,"House, apartment, flat",New England,1.645,2,81.80045,43.84,125.64045,3.17,4.055,,,25.0,1.695,2,0.0,0.0,6.04,4.74,0,0,22.99,2.495,0.99,0.0,1.0,No,0.0,10.62,Yes,Connecticut,0.0,2.0,10.885,0.0,0.08542365182554668
17,360917,70,Master’s or greater,,,No,,Not at all,Divorced,,No,Male,,Retired,930.0,,360917,"Washington-ArlingtonAlexandria, DC-VA-MD-WV",4 mil+,48066.8,0.0,0.0,0.0,3.8558449999999995,0.0,0,"House, apartment, flat",South Atlantic,0.0,1,55.24,114.17999499999999,169.419995,21.88542,1.1505,,,175.0,0.0,0,6.6819,0.0,0.0,0.0,0,1,3.079195,3.5830900000000003,0.0,2.8064400000000003,,No,30.725,0.0,Yes,,0.0,2.0,39.98392,3.50788,0.183283258714955
18,360919,67,Bachelor’s degree,Paid employee of a PRIVATE company,,No,43.5,Not at all,Married,,No,Male,,,103.0,,360919,Rest of America,1.20-4 mil,245895.0,225000.0,61.19,8.735,0.0,8.235,0,"House, apartment, flat",Pacific,3.195,2,112.42,179.455,291.875,32.54,28.185,,,180.0,1.345,2,7.69,2.84,0.0,0.0,0,1,15.715,0.0,4.495,12.785,1.0,No,14.445,0.0,Yes,Oregon,0.0,1.0,35.315,19.65,0.06172349986782977
19,360920,68,Some college but no degree,,,Yes,58.0,Not at all,Divorced,,No,Male,,Retired,930.0,,360920,"Houston-The Woodlands-Sugar Land, TX",4 mil+,38196.6,0.0,0.0,4.985,3.695,1.245,7,"House, apartment, flat",West South Central,2.44,4,44.915,48.465,93.38,2.5,0.0,,,,0.0,1,9.915,0.0,2.495,7.5,2,1,0.0,0.0,1.44,1.9,,No,0.0,0.0,Yes,Texas,0.0,3.0,10.35,0.0,0.12712545095636785
20,360921,50,Master’s or greater,Paid employee of a PRIVATE company,3850.0,No,47.5,Not at all,Married,,No,Male,,,103.0,,360921,Rest of America,1.20-4 mil,211800.0,200000.0,8.75,4.7,3.83,6.53,0,"House, apartment, flat",East North Central,0.575,2,120.135,56.38,176.515,2.965,5.40763,,,80.0,1.39,2,0.0,1.545,6.94,1.995,0,0,7.395,0.0,1.745,4.83,1.0,No,0.0,0.0,Yes,Ohio,7.04,2.0,6.88737,0.0,0.04333701605288007
21,360922,66,Master’s or greater,A State government employee,,No,42.6666666666667,Not at all,Married,,No,Male,,,102.0,,360922,Rest of America,0.33-1.19 mil,197954.5,100767.6,0.0,9.165,0.0,5.3,7,"House, apartment, flat",West North Central,2.395,3,41.65,48.675,90.325,3.2,3.71,,,80.0,4.25,3,0.535,0.0,0.0,0.535,0,2,0.0,7.1,0.0,0.0,1.0,No,0.0,0.0,Yes,Kansas,6.915,5.0,5.57,0.0,0.023727169627363865
22,360924,47,Bachelor’s degree,Paid employee of a PRIVATE company,,Yes,36.6666666666667,Not at all,Married,,No,Male,,,112.0,,360924,"New York-Newark-Jersey City, NY-NJ-PA",4 mil+,75855.6,75855.6,0.0,9.62,0.0,13.48,7,"House, apartment, flat",Middle Atlantic,0.0,3,54.43,117.795,172.225,3.43,16.67,,,110.0,23.82,3,0.86,0.0,4.14,2.215,0,0,0.0,0.0,0.0,0.625,1.0,No,14.54,0.0,Yes,New York,0.0,,26.125,2.27,0.11806247660027734
23,360929,51,Some college but no degree,Paid employee of a PRIVATE company,,No,54.0,Not at all,Married,,No,Male,,,111.0,,360929,"Chicago-Naperville-Elgin, IL-INWI",4 mil+,193000.0,193000.0,0.0,3.2815,2.440325,4.349205,0,"House, apartment, flat",East North Central,0.0,2,20.645,48.14501,68.79001,1.35324,0.9046200000000001,,,80.0,1.2674,2,8.576975,7.092910000000001,1.369235,0.0,0,0,0.0,2.6865349999999997,2.026585,4.0391449999999995,1.0,No,0.0,0.0,Yes,Indiana,2.1978299999999997,4.0,6.559505000000001,0.0,0.01853409595854922
