"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Detailed food spending, Canada, regions and provinces",11100125,203-0028,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110012501",3;4;5;6,"CURRENT - a cube available to the public and that is current",Annual,2010-01-01,2017-01-01,3

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,Geography,7,
2,Statistic,,
3,"Food expenditures, summary-level categories",,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,Canada,[11124],1,,,,
1,"Atlantic Region",[1],2,1,,,
1,"Newfoundland and Labrador",[10],3,2,,,
1,"Prince Edward Island",[11],4,2,,,
1,"Nova Scotia",[12],5,2,,,
1,"New Brunswick",[13],6,2,,,
1,Quebec,[24],7,1,,,
1,Ontario,[35],8,1,,,
1,"Prairie Region",[4],9,1,,,
1,Manitoba,[46],10,9,,,
1,Saskatchewan,[47],11,9,,,
1,Alberta,[48],12,9,,,
1,"British Columbia",[59],13,1,,,
2,"Average expenditure per household",,1,,,,
3,"Food expenditures",,1,,,1,
3,"Food purchased from stores",,2,1,,,
3,"Bakery products",,3,2,,,
3,"Bread and unsweetened rolls and buns",,4,3,,,
3,"Cookies and crackers",,5,3,,,
3,"Other bakery products",,6,3,,,
3,"Other bakery products (except frozen)",,7,6,,,
3,"Frozen bakery products",,8,6,,,
3,"Cereal grains and cereal products",,9,2,,,
3,"Rice and rice mixes",,10,9,,,
3,"Pasta products",,11,9,,,
3,"Pasta (fresh or dry)",,12,11,,,
3,"Pasta (canned)",,13,11,,,
3,"Pasta mixes",,14,11,,,
3,"Other cereal grains and cereal products",,15,9,,,
3,"Flour and flour-based mixes",,16,15,,,
3,"Breakfast cereal and other grain products (except infant)",,17,15,,,
3,"Breakfast cereal (except infant cereals)",,18,17,,,
3,"Other cereal grains (unmilled or milled)",,19,17,,,
3,"Cereal bars",,20,17,,,
3,"Cereal-based snack food",,21,17,,,
3,"Fruit, fruit preparations and nuts",,22,2,,,
3,"Fresh fruit",,23,22,,,
3,"Apples (fresh)",,24,23,,,
3,"Bananas and plantains (fresh)",,25,23,,,
3,"Grapes (fresh)",,26,23,,,
3,"Peaches and nectarines (fresh)",,27,23,,,
3,"Peaches (fresh)",,28,27,,,
3,"Nectarines (fresh)",,29,27,,,
3,"Pears (fresh)",,30,23,,,
3,"Berries (fresh)",,31,23,,,
3,"Strawberries (fresh)",,32,31,,,
3,"Other berries (fresh)",,33,31,,,
3,"Citrus fruit (fresh)",,34,23,,,
3,"Other fruit (fresh)",,35,23,,,
3,"Preserved fruit and fruit preparations",,36,22,,,
3,"Fruit juice",,37,36,,,
3,"Ready-to-drink citrus juice",,38,37,,,
3,"Other ready-to-drink fruit juices",,39,37,,,
