,id,age,highest_education,profession,avg(GROSPAYX),hispanic,weekly_hours_worked,in_college,is_married,schoolmeals_purchases,self_employed,sex,supp_security,reason_unemployment,main_profession,numweeks_schoolmeals,id_2,psu,psu_popsize,net_income,FWAGEXM,alcbev,bakery,beef,cereal,child_age,housing_type,census_division,eggs,fam_size,food_away,food_home,total_food,fresh_fruit,fresh_veg,value_foodstamps,number_foodstamps,non_alc_grocery,milk,number_earners,non_alc_bevs,oils,othdairy,othmeat,members_under18,members_over64,pet_food,pork,procfruit,proc_veg,spouse_race,foodstamp_or_not,seafood,smoking,lives_in_MSA,state,sweets,vehicle,miscellaneous,poultry,total_food_percent
35,360954,66,Associate’s degree in college,A local government employee,200.0,No,20.0,Not at all,Divorced,,No,Female,,,106.0,,360954,Rest of America,0.33-1.19 mil,20728.0,10000.0,0.0,6.835,0.0,1.145,0,"House, apartment, flat",New England,0.995,1,0.0,46.6,46.6,3.9426300000000003,7.822369999999999,60.0,12.0,60.0,0.0,1,0.0,0.0,2.14,0.0,0,1,0.0,1.0,0.0,0.0,,Yes,17.705,0.0,Yes,,0.0,1.0,5.015,0.0,0.11690467001157856
38,360960,50,Some college but no degree,Paid employee of a PRIVATE company,29.0,No,28.0,Not at all,Divorced,,No,Female,,,107.0,,360960,Rest of America,"125,000 - 330,000",17562.0,15524.0,0.0,11.78,2.76,0.0,0,"House, apartment, flat",South Atlantic,0.0,1,8.25,51.815,60.065,0.0,2.21,319.0,2.0,30.0,0.86,1,2.04,1.52,9.78,0.0,0,0,1.505,4.37,3.81,1.965,,Yes,0.0,11.725,Yes,North Carolina,0.0,1.0,10.72,0.0,0.17784876437763353
43,360971,65,High school graduate,,,No,45.0,Not at all,Separated,,No,Female,300.0,"Ill, disabled, unable to work",900.0,,360971,Rest of America,1.20-4 mil,24052.4,14905.0,0.0,8.129195,0.0,4.53605,7,"House, apartment, flat",East North Central,0.0,4,3.65,50.0,53.65,3.02515,0.922235,356.2,12.0,85.0,2.242855,2,6.185325,2.49534,1.8836400000000002,0.0,1,1,0.0,2.508325,0.0,2.044785,,Yes,3.155555,0.0,Yes,Ohio,2.240625,,8.473519999999999,2.1574,0.11598842527149056
67,361039,31,High school graduate,Paid employee of a PRIVATE company,,No,25.0,Not at all,Never married,,No,Female,,,103.0,,361039,Rest of America,1.20-4 mil,18600.0,15000.0,0.0,5.42,3.49,4.435,0,"House, apartment, flat",West South Central,0.0,1,0.0,89.825,89.825,1.34,3.27,300.0,12.0,50.0,0.0,1,12.84,5.265,8.24,6.61,0,0,0.0,6.49,1.175,5.39,,Yes,0.0,0.0,Yes,Oklahoma,1.585,,24.275,0.0,0.2511236559139785
81,361077,73,Some college but no degree,,,No,,Not at all,Never married,,No,Female,,Retired,930.0,,361077,Rest of America,1.20-4 mil,18125.6,0.0,0.0,2.5,0.0,5.03,0,"House, apartment, flat",Middle Atlantic,0.0,1,0.0,43.645,43.645,2.19,1.045,16.0,6.0,45.0,1.555,0,3.065,3.685,2.69,0.0,0,1,22.665,0.0,0.0,0.0,,Yes,0.0,0.0,Yes,Pennsylvania,1.145,,20.74,0.0,0.12521185505583265
84,361086,39,Bachelor’s degree,Paid employee of a PRIVATE company,,No,33.0,Not at all,Married,,No,Male,,,101.0,,361086,Rest of America,"125,000 - 330,000",144677.8,130604.2,0.0,0.0,0.0,0.0,4,"House, apartment, flat",South Atlantic,0.0,5,96.895,16.315,113.21,3.725,0.765,174.2,12.0,155.0,1.52,2,0.855,0.0,3.855,0.0,2,1,0.0,0.0,0.0,0.0,4.0,Yes,0.0,0.0,Yes,North Carolina,5.595,3.0,0.0,0.0,0.040689863959778215
95,361115,64,Bachelor’s degree,,400.0,Yes,40.0,Not at all,Married,,No,Male,,"Ill, disabled, unable to work",900.0,,361115,"New York-Newark-Jersey City, NY-NJ-PA",4 mil+,67864.0,67000.0,0.0,11.51646,0.0,14.761445000000002,7,"House, apartment, flat",Middle Atlantic,0.0,5,2.73,113.47,116.2,24.118295,7.5961050000000006,72.0,12.0,95.0,3.435,3,5.53,0.0,10.074394999999999,0.0,1,0,0.0,6.16,2.545925,0.0,1.0,Yes,11.47832,0.0,Yes,New Jersey,0.48,1.0,8.750325,7.0237300000000005,0.0890368973240599
97,361123,71,High school graduate,,,No,,Not at all,Married,,No,Male,,Retired,930.0,,361123,"Chicago-Naperville-Elgin, IL-INWI",4 mil+,14937.6,0.0,0.0,4.735,23.81,11.455,0,"House, apartment, flat",East North Central,1.765,2,20.675,128.13,148.805,8.265,17.03,275.0,12.0,,2.015,0,5.84,2.52,0.0,0.0,0,1,0.0,3.78,0.0,0.485,4.0,Yes,15.21,0.0,Yes,Illinois,2.16,1.0,26.545,2.515,0.518012264353042
109,361147,88,Some college but no degree,Self-employed,,No,30.0,Not at all,Married,,Yes,Male,,,210.0,,361147,Rest of America,1.20-4 mil,265196.2,0.0,0.0,5.635,0.835,0.995,0,"House, apartment, flat",New England,1.93,2,6.895,93.075,99.97,8.275,7.825,104.0,12.0,116.0,0.795,2,14.34,0.0,4.37,1.67,0,2,1.0,5.98,2.145,5.89,1.0,Yes,11.01,0.0,Yes,Connecticut,11.065,1.0,8.32,1.995,0.019602241661079607
121,361176,39,Bachelor’s degree,,,No,,Not at all,Divorced,,No,Male,,"Ill, disabled, unable to work",900.0,,361176,Rest of America,1.20-4 mil,34400.0,0.0,0.0,1.332985,21.325004999999997,0.0,0,"House, apartment, flat",Pacific,0.0,1,1.825805,134.245005,136.07081000000002,15.585,40.502015,16.0,12.0,150.0,0.0,0,0.0,0.0,7.99,3.995,0,0,0.0,10.45,0.0,0.0,,Yes,0.0,142.5,Yes,Oregon,0.93,1.0,9.43,22.705,0.20568843372093026
146,361220,74,High school graduate,Paid employee of a PRIVATE company,,No,32.5,Not at all,Divorced,,No,Female,,,110.0,,361220,Rest of America,"< 125,000",51994.8,32204.8,0.0,2.25,0.0,0.0,7,Mobile home or trailer with NO permanent room added,West South Central,0.0,4,5.765,15.225,20.99,0.0,0.0,211.6,12.0,100.0,0.0,2,1.675,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,,Yes,0.0,0.0,No,,1.0,2.0,10.3,0.0,0.02099209920992099
147,361224,31,Master’s or greater,Self-employed,,No,65.0,Not at all,Never married,,Yes,Female,,,206.0,,361224,Rest of America,0.33-1.19 mil,5828.0,0.0,0.0,1.045,0.0,0.0,0,"House, apartment, flat",East South Central,0.0,1,0.0,16.115,16.115,0.0,0.0,194.0,12.0,50.0,1.315,1,0.0,0.0,1.045,0.0,0,0,5.38,3.35,1.315,0.0,,Yes,0.0,0.0,Yes,Tennessee,0.0,2.0,8.045,0.0,0.14378517501715854
175,361290,48,Associate’s degree in college,,,Yes,,Not at all,Never married,,No,Female,13.0,"Ill, disabled, unable to work",900.0,,361290,Rest of America,1.20-4 mil,12636.0,0.0,0.0,2.245,0.0,0.0,5,"House, apartment, flat",Middle Atlantic,1.99,2,10.0,15.94,25.94,0.0,0.0,125.0,12.0,60.0,2.98,0,4.99,0.0,1.645,0.0,1,0,0.0,2.09,0.0,0.0,,Yes,0.0,0.0,Yes,New York,0.0,1.0,0.0,0.0,0.10674897119341564
178,361296,41,Grade 8 or lower,,478.0,Yes,50.0,,Married,,No,Female,,Taking care of home/family,910.0,,361296,"New York-Newark-Jersey City, NY-NJ-PA",4 mil+,32940.0,31500.0,0.0,4.87,0.0,0.0,4,"House, apartment, flat",Middle Atlantic,3.745,5,72.32,108.424995,180.744995,9.02,10.975,120.0,12.0,150.0,1.465,1,9.49,0.0,1.375,2.1490650000000002,3,0,0.0,8.03593,0.0,0.0,1.0,Yes,18.265,0.0,Yes,New Jersey,0.0,2.0,29.73,9.305,0.2853290752884031
187,361311,23,"Some high school, no degree",Paid employee of a PRIVATE company,397.5,Yes,30.0,,Married,,No,Male,,,112.0,,361311,"Houston-The Woodlands-Sugar Land, TX",4 mil+,40780.0,37000.0,0.0,0.0,0.0,0.0,1,"House, apartment, flat",West South Central,0.0,4,21.5,12.44,33.94,0.0,0.0,630.0,6.0,100.0,1.195,2,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,1.0,Yes,0.0,0.0,Yes,Texas,0.0,1.0,11.245,0.0,0.04327807748896518
226,361388,39,High school graduate,Paid employee of a PRIVATE company,559.0,Yes,40.6666666666667,Not at all,Never married,,No,Female,,,111.0,,361388,Rest of America,1.20-4 mil,42599.8,40583.8,0.0,31.34,6.4,18.77,6,"House, apartment, flat",Pacific,5.5,8,101.07,205.42,306.49,11.255,8.39,168.0,12.0,200.0,4.47,3,23.535,5.485,12.09,5.355,5,0,0.0,0.0,2.107285,25.067715,,Yes,6.495,0.0,Yes,,1.43,2.0,33.6,4.13,0.37412100526293546
229,361394,45,High school graduate,,593.333333333333,Yes,30.0,Not at all,Never married,,No,Female,,Taking care of home/family,910.0,,361394,Rest of America,1.20-4 mil,27912.0,25512.0,0.0,7.57,0.0,6.475,6,"House, apartment, flat",Pacific,0.0,5,72.865,116.975,189.84,26.145,2.585,200.0,12.0,150.0,3.48,3,8.235,3.995,17.695,2.86,2,0,0.0,4.475,4.017375,4.942625,,Yes,0.0,0.0,Yes,Oregon,6.82,3.0,17.68,0.0,0.3536715391229579
282,361513,35,Grade 8 or lower,Paid employee of a PRIVATE company,810.0,Yes,35.0,,Never married,,No,Male,,,110.0,,361513,"Philadelphia-CamdenWilmington, PA-NJ-DE-MD",4 mil+,28596.8,28056.8,50.77,21.223845,12.876195,15.38357,2,"House, apartment, flat",Middle Atlantic,4.26399,6,0.0,331.679985,331.679985,43.782005,48.999255,60.0,9.0,300.0,7.613425,2,18.005779999999998,13.22145,16.59404,11.416565,4,0,0.0,31.208070000000003,4.7992550000000005,18.793120000000002,,Yes,4.44895,0.0,Yes,New Jersey,9.089965,,46.591609999999996,3.3688949999999998,0.603122000363677
284,361516,37,"Some high school, no degree",Paid employee of a PRIVATE company,1680.0,Yes,60.0,,Separated,,No,Female,,,109.0,,361516,Rest of America,1.20-4 mil,41936.0,25200.0,5.875,17.595,4.09,9.27,4,"House, apartment, flat",South Atlantic,3.89,4,14.015,137.885,151.9,6.535,2.425,410.0,10.0,150.0,3.57,1,25.185,11.4,15.655,0.0,3,0,0.0,6.97,2.80764,4.32236,,Yes,0.0,5.99,Yes,Florida,0.34,1.0,23.83,0.0,0.1883536818008394
285,361517,55,Some college but no degree,,,No,,Not at all,Divorced,,No,Male,,"Ill, disabled, unable to work",900.0,,361517,Rest of America,"< 125,000",29131.0,0.0,0.0,9.975,0.0,4.54,0,"House, apartment, flat",,1.92,2,5.47,94.055,99.525,8.385,16.32,15.0,12.0,100.0,3.295,0,9.39,3.33,2.425,0.0,0,1,0.0,0.0,2.985,11.955,,Yes,3.03,0.0,No,,1.03,1.0,15.475,0.0,0.17765610518004876
312,361573,77,"Some high school, no degree",,,No,,,Widowed,,No,Female,,Retired,930.0,,361573,"New York-Newark-Jersey City, NY-NJ-PA",4 mil+,12408.0,0.0,0.0,1.49,0.0,0.0,0,"House, apartment, flat",Middle Atlantic,1.495,1,0.0,39.14,39.14,0.0,0.0,100.0,12.0,45.0,0.0,0,0.0,1.495,1.5,15.03,0,1,8.79,4.24,1.695,0.0,,Yes,2.495,0.0,Yes,New Jersey,0.0,,9.7,0.0,0.16402965828497743
315,361577,34,"Some high school, no degree",Paid employee of a PRIVATE company,160.0,Yes,11.5,,Married,,No,Female,,,110.0,,361577,Rest of America,"125,000 - 330,000",5515.0,760.0,0.0,4.89,4.87,5.93,3,"House, apartment, flat",West South Central,4.785,5,0.0,96.35,96.35,2.28,6.69,335.0,12.0,100.0,0.0,2,3.525,0.795,2.685,14.995,3,0,0.0,4.36,1.65995,1.44505,1.0,Yes,2.76,0.0,Yes,Texas,5.095,1.0,18.375,11.21,0.908467815049864
